SiteNumber	Type	LocationID	EffectiveDate	Region	DistrictOffice	State	StateName	County	CountyState	City	FacilityName	Ownership	Use	Owner	OwnerAddress	OwnerCSZ	OwnerPhone	Manager	ManagerAddress	ManagerCSZ	ManagerPhone	ARPLatitude	ARPLatitudeS	ARPLongitude	ARPLongitudeS	ARPMethod	ARPElevation	ARPElevationMethod	MagneticVariation	MagneticVariationYear	TrafficPatternAltitude	ChartName	DistanceFromCBD	DirectionFromCBD	LandAreaCoveredByAirport	BoundaryARTCCID	BoundaryARTCCComputerID	BoundaryARTCCName	ResponsibleARTCCID	ResponsibleARTCCComputerID	ResponsibleARTCCName	TieInFSS	TieInFSSID	TieInFSSName	AirportToFSSPhoneNumber	TieInFSSTollFreeNumber	AlternateFSSID	AlternateFSSName	AlternateFSSTollFreeNumber	NOTAMFacilityID	NOTAMService	ActivationDate	AirportStatusCode	CertificationTypeDate	FederalAgreements	AirspaceDetermination	CustomsAirportOfEntry	CustomsLandingRights	MilitaryJointUse	MilitaryLandingRights	InspectionMethod	InspectionGroup	LastInspectionDate	LastOwnerInformationDate	FuelTypes	AirframeRepair	PowerPlantRepair	BottledOxygenType	BulkOxygenType	LightingSchedule	BeaconSchedule	ATCT	UNICOMFrequencies	CTAFFrequency	SegmentedCircle	BeaconColor	NonCommercialLandingFee	MedicalUse	SingleEngineGA	MultiEngineGA	JetEngineGA	HelicoptersGA	GlidersOperational	MilitaryOperational	Ultralights	OperationsCommercial	OperationsCommuter	OperationsAirTaxi	OperationsGALocal	OperationsGAItin	OperationsMilitary	OperationsDate	AirportPositionSource	AirportPositionSourceDate	AirportElevationSource	AirportElevationSourceDate	ContractFuelAvailable	TransientStorage	OtherServices	WindIndicator	IcaoIdentifier	MinimumOperationalNetwork
25496.1*A	AIRPORT	'MVL	8/12/21	ANE	NONE	VT	VERMONT	LAMOILLE	VT	MORRISVILLE	MORRISVILLE-STOWE STATE	PU	PU	STATE OF VERMONT	219 NORTH MAIN STREET	"BARRE, VT 05641"	  (802) 476-2690	STOWE AVIATION	2305 LAPORTE RD	"MORRISVILLE, VT 05661"	  (802) 253-2332	44-32-03.7000N	160323.7000N	072-36-50.4000W	261410.4000W	E	732	S	16W	1995		MONTREAL	2	SW	112	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				MVL	Y	7/1/60	O		NGY	NOT ANALYZED	N	N	N	Y	S	S	7102019		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		21	2	0	0	5	0	1			348	750	2500	300	12/31/18	FAA	00:00.0	FAA	00:00.0		"HGR,TIE"	AVNCS	Y-L	KMVL	N
25499.*A	AIRPORT	'EFK	8/12/21	ANE	NONE	VT	VERMONT	ORLEANS	VT	NEWPORT	NORTHEAST KINGDOM INTL	PU	PU	STATE OF VERMONT	219 NORTH MAIN STREET	"BARRE, VT 05641-5001"	  (802) 476-2690	DAN GAUVIN	"LAKEVIEW AVIATION, 2628 AIRPORT RD-COVENTRY"	"NEWPORT, VT 05855"	    802-334-5001	44-53-17.4320N	161597.4320N	072-13-43.0870W	260023.0870W	E	933	S	17W	1995		MONTREAL	3	SW	540	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				BTV	Y	11/1/43	O		NGY3	NOT ANALYZED	N	Y	N	Y	S	S	7252019		100LLA+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		17	1	0	0	2	0	0			500	6500	2000	240	6/30/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"INSTR,RNTL"	Y-L	KEFK	N
25508.*A	AIRPORT	'2B9	8/12/21	ANE	NONE	VT	VERMONT	ORANGE	VT	POST MILLS	POST MILLS	PR	PU	BRIAN BOLAND	PO BOX 51	"POST MILLS, VT 05058"	    802-333-9254	BRIAN BOLAND	PO BOX 51	"POST MILLS, VT 05058"	    802-333-9254	43-53-01.4000N	157981.4000N	072-15-07.5000W	260107.5000W	E	696	S	16W	1985		NEW YORK	0	E	50	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				BTV	Y	2/1/47	O		N	NOT ANALYZED	N	N	N	N	S	S	6142017	9281982		MINOR	MINOR	NONE	NONE			N	122.8	122.8	N		N		0	0	0	0	0	0	0			0	0	0		5/31/17	FAA-EST	00:00.0				"HGR,TIE"	"CHTR,GLD,INSTR,SALES,TOW"	Y		N
25526.*A	AIRPORT	'RUT	8/12/21	ANE	NONE	VT	VERMONT	RUTLAND	VT	RUTLAND	RUTLAND - SOUTHERN VERMONT RGNL	PU	PU	STATE OF VERMONT	"VTAOT, 1 NATIONAL LIFE DRIVE"	"MONTPELIER, VT 05633-5001"	    802-828-2833	CHRISTOPHER BEITZEL	"1002 AIRPORT RD, TERMINAL BLDG"	"NORTH CLARENDON, VT 05759"	    802-786-8881	43-31-47.0290N	156707.0290N	072-56-58.6540W	262618.6540W	E	787	S	15W	1995		NEW YORK	5	S	345	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				RUT	Y	12/1/42	O	IV A U 11/2005	NGY3	NOT ANALYZED	N	N	N	Y	S	S	3182020		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	Y		22	1	0	0	0	0	0	0		1813	6187	5061	30	5/31/17	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,CHTR,INSTR,RNTL,SALES"	Y-L	KRUT	N
25538.1*A	AIRPORT	'VT8	8/12/21	ANE	NONE	VT	VERMONT	CHITTENDEN	VT	SHELBURNE	SHELBURNE	PR	PU	RAY C. MAGEE	144 AIRPARK RD.	"SHELBURNE, VT 05482"	    802-985-2100	RAY C. MAGEE	144 AIRPARK RD.	"SHELBURNE, VT 05482"	    802-985-2100	44-21-37.0900N	159697.0900N	073-13-35.0200W	263615.0200W	E	325	E	15W	1985		MONTREAL	2	S	23	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				BTV	Y	8/1/62	O			CONDITIONAL					2	S	6262017	9162003	MOGAS	MAJOR	MAJOR					N	122.8	122.8	N		N		15						3				1220	123		5/31/17	STATE	00:00.0				"HGR,TIE"	"INSTR,RNTL"	Y		N
25550.*A	AIRPORT	'VSF	8/12/21	ANE	NONE	VT	VERMONT	WINDSOR	VT	SPRINGFIELD	HARTNESS STATE (SPRINGFIELD)	PU	PU	STATE OF VERMONT; GUY ROUELLE	"RUTLAND SVR AIRPORT, 1002 AIRPORT ROAD"	"NO CLARENDON, VT 05759-5001"	  (802) 786-8881	STATE OF VERMONT	15 AIRPORT ROAD	"NO. SPRINGFIELD, VT 05150"	  (802) 886-2647	43-20-37.4000N	156037.4000N	072-31-02.2000W	261062.2000W	E	577	S	15W	1995	1100	NEW YORK	3	NW	192	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				VSF	Y	10/1/37	O		NGSY	NOT ANALYZED	N	N	N	Y	S	S	3182020		100LLA    A+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	N	CG	N		11	0	0	0	12	0	0			222	3752	2487	150	12/31/17	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,AVNCS,CHTR,INSTR,RNTL,TOW"	Y-L	KVSF	N
25570.*A	AIRPORT	'B06	8/12/21	ANE	NONE	VT	VERMONT	ADDISON	VT	VERGENNES	BASIN HARBOR	PR	PU	BEACH PROPERTIES INC	BASIN HABOR AIRPORT	"VERGENNES, VT 05491"	    802-475-2311	"ROBERT BEACH, JR."	BASIN HARBOR AIRPORT	"VERGENNES, VT 05491"	    802-475-2311	44-11-30.0000N	159090.0000N	073-21-31.3000W	264091.3000W	E	124	E	15W	1985		MONTREAL	4	NW	14	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				BTV	Y	7/1/56	O			NOT ANALYZED					S	S	8022017	8251980		NONE	NONE					N	122.8	122.8	N		N													1150	50	7/31/17	FAA-EST IMAGERY	00:00.0	FAA-EST IMAGERY	00:00.0				Y		N
25577.*A	AIRPORT	'0B7	8/12/21	ANE	NONE	VT	VERMONT	WASHINGTON	VT	WARREN	WARREN-SUGARBUSH	PR	PU	GRANITE INTERSECTION INC	BOX ONE	"WAITSFIELD, VT 05673"	    802-496-2290	TOM ANDERSON	PO BOX 123	"WARREN, VT 05674"	    802-496-2290	44-07-02.6000N	158822.6000N	072-49-37.2000W	262177.2000W	E	1470	E	16W	1985		MONTREAL	2	E	125	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON	N	BTV	BURLINGTON		1-800-WX-BRIEF				BTV	Y	8/1/66	O		N	CONDITIONAL	N	N	N	N	S	S	7202017	4131998	100LL							N	123	123	Y		N		0	0	0	0	0	0	0				16520	1100		6/30/17	FAA-EST	00:00.0				TIE	"GLD,INSTR,RNTL,TOW"	Y		N
25581.2*A	AIRPORT	'4V8	8/12/21	ANE	NONE	VT	VERMONT	WINDHAM	VT	WEST DOVER	DEERFIELD VALLEY RGNL	PR	PU	"DEERFIELD VALLEY REG AIRPORT, LLC"	"HERMITAGE REALTY ESTATE HOLDING CO., 25 HANDLE ROAD"	"WEST DOVER, VT 05356"	  (802) 490-0775	JIM BARNES	"P.O. BOX 2210, 69 AIRPORT ROAD"	"WEST DOVER, VT 05356"	  (802) 490-0775	42-55-37.6880N	154537.6880N	072-51-56.3530W	262316.3530W	E	1953	S	15W	1985		NEW YORK	1	SW	35	ZBW	ZCB	BOSTON	ZBW	ZCB	BOSTON		BTV	BURLINGTON		1-800-WX-BRIEF				BTV	Y	11/1/82	O			CONDITIONAL					S	S	9152015	11181983						SS-SR		N	122.8	122.8	N		Y		5	2									1800	1300		9/15/15	ADAM					"HGR,TIE"		Y-L		N
26098.1*A	AIRPORT	'74S	8/12/21	ANM	SEA	WA	WASHINGTON	SKAGIT	WA	ANACORTES	ANACORTES	PU	PU	PORT OF ANACORTES	100 COMMERCIAL AVENUE	"ANACORTES, WA 98221"	    360-293-3134	JOHN DUMAS	100 COMMERCIAL AVENUE	"ANACORTES, WA 98221"	    360-293-3134	48-29-54.6000N	174594.6000N	122-39-45.0000W	441585.0000W	E	241	S	21E	1985		SEATTLE	2	W	120	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	12/1/70	O		NGY	NO OBJECTION	N	Y	N	Y	S	S	6112020		100  A	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		128.25	Y	CG	N		26	0	0	0	0	0	0			1500	3500	4000		12/31/19	FAA-EST	00:00.0				TIE	"AFRT,AMB,CHTR"	Y		N
26098.23*C	SEAPLANE BASE	'21H	8/12/21	ANM	SEA	WA	WASHINGTON	SKAGIT	WA	ANACORTES	SKYLINE	PR	PU	SKYLINE MARINE CENTER	2011 SKYLINE WAY	"ANACORTES, WA 98221"	  (360) 293-5134	KELLY LARKIN	"SKYLINE MARINE CENTER, 2011 SKYLINE WAY"	"ANACORTES, WA 98221"	  (360) 293-5134	48-28-59.3700N	174539.3700N	122-41-04.6250W	441664.6250W	E	0	E	21E	1985		SEATTLE	3	W		ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	11/1/70	O			NO OBJECTION	N	N	N	N	S	S	6112020									N		128.25	N		N											3		0		12/31/16						BUOY		N		N
26098.6*A	AIRPORT	'D69	8/12/21	ANM	SEA	WA	WASHINGTON	ASOTIN	WA	ANATONE	ROGERSBURG	PU	PU	WSDOT AVIATION DIVISION	7702 TERMINAL STREET SW	"TUMWATER, WA 98501-7264"	  (800) 552-0666	G. PAUL WOLF	7702 TERMINAL STREET SW	"TUMWATER, WA 98501-7264"	  (360) 618-2477	46-04-26.8800N	165866.8800N	116-57-53.5400W	421073.5400W	E	869	E				SEATTLE	8	SE		ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE		SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	9/1/03	O			NO OBJECTION						S	5142019	7072003								N		122.9	N															100		12/31/18	FAA OE/AAA	00:00.0	FAA OE/AAA	00:00.0				N		N
26099.*A	AIRPORT	'AWO	8/12/21	ANM	SEA	WA	WASHINGTON	SNOHOMISH	WA	ARLINGTON	ARLINGTON MUNI	PU	PU	CITY OF ARLINGTON	"CITY HALL, 238 N OLYMPIC"	"ARLINGTON, WA 98223"	    360-403-3470	DAVID RYAN	"18204 59TH AVE NE, STE A"	"ARLINGTON, WA 98223"	    360-403-3474	48-09-38.7000N	173378.7000N	122-09-32.5000W	439772.5000W	E	141	S	17E	2010	1058	SEATTLE	3	SW	1200	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				AWO	Y	8/1/37	O		NGPY	NOT ANALYZED	N	N	N	Y	S	S	7132020		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N		122.725	Y	CG	N		193	5	1	3	39	0	20			2325	42685	21990	80	12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AMB,AVNCS,CARGO,CHTR,GLD,INSTR,RNTL,SALES,SURV,TOW"	Y-L	KAWO	N
26103.11*A	AIRPORT	'S50	8/12/21	ANM	SEA	WA	WASHINGTON	KING	WA	AUBURN	AUBURN MUNI	PU	PU	CITY OF AUBURN	25 WEST MAIN STREET	"AUBURN, WA 98001"	  (253) 931-3010	TIM MENSONIDES	"2143 E ST. NE, SUITE #1"	"AUBURN, WA 98002"	  (253) 333-6821	47-19-39.4495N	170379.4495N	122-13-35.9584W	440015.9584W	E	63	S	18E	2005		SEATTLE	1	N	110	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	3/1/70	O		NGY	NO OBJECTION	N	N	N	Y	S	S	9032020	1231992	100LLA	MAJOR	MAJOR	LOW	LOW	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		240	15	0	7	2	0	0			6100	86069	47731	100	12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"CHTR,INSTR,RNTL,SALES"	Y-L		N
26104.*A	AIRPORT	'4W0	8/12/21	ANM	SEA	WA	WASHINGTON	KING	WA	BANDERA	BANDERA STATE	PU	PU	WSDOT AVIATION DIVISION	7702 TERMINAL STREET SW	"TUMWATER, WA 98501-7264"	  (800) 552-0666	G. PAUL WOLF	7702 TERMINAL STREET SW	"TUMWATER, WA 98501-7264"	  (360) 618-2477	47-23-43.3280N	170623.3280N	121-32-11.2990W	437531.2990W	E	1636	E	20E	1985		SEATTLE	0	W	25	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	9/1/48	O		S1	NOT ANALYZED	N	N	N	Y	S	S	6152021			NONE	NONE	NONE	NONE			N		122.9	N		N													300		12/31/20	STATE	00:00.0	STATE	00:00.0		TIE		Y		N
26104.11*A	AIRPORT	'W58	8/12/21	ANM	SEA	WA	WASHINGTON	CLARK	WA	BATTLE GROUND	CEDARS NORTH	PR	PU	CEDARS HOMEOWNERS ASSOCIATION	19506 NE 157 AVE	"BATTLE GROUND, WA 98604"	    360-687-8234	STUART DAVIS	19506 NE 157 AVE	"BATTLE GROUND, WA 98604"	    360-687-8234	45-45-52.4000N	164752.4000N	122-30-54.3000W	441054.3000W	E	275	E	19E	1985		SEATTLE	1	NW	6	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	6/1/91	O			NO OBJECTION					2	S	8192020	6051991								N		122.9	N				4										600	600	50	12/31/19								Y		N
26104.1*A	AIRPORT	'W52	8/12/21	ANM	SEA	WA	WASHINGTON	CLARK	WA	BATTLE GROUND	GOHEEN	PR	PU	GORDON GOHEEN	9304 NE 279 ST	"BATTLE GROUND, WA 98604"	    360-687-3038	MARK SWONGER	9304 NE 279TH ST	"BATTLE GROUND, WA 98604"	    360-687-3038	45-49-36.4670N	164976.4670N	122-34-36.6820W	441276.6820W	E	292	E	20E	1985		SEATTLE	3	NW	100	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	2/1/71	O			CONDITIONAL	N	N	N	N	S	S	8192020	8251980		MAJOR	MAJOR		NONE	SEE RMK		N		122.9	N		N		35	6		1			1				2870	570		12/31/19	STATE	00:00.0	STATE	00:00.0		TIE		Y		N
26109.*A	AIRPORT	'BLI	8/12/21	ANM	SEA	WA	WASHINGTON	WHATCOM	WA	BELLINGHAM	BELLINGHAM INTL	PU	PU	PORT OF BELLINGHAM	1801 ROEDER AVE	"BELLINGHAM, WA 98227"	    360-676-2500	SUNIL HARMAN	4255 MITCHELL WAY STE 206	"BELLINGHAM, WA 98226"	  (360) 676-2500	48-47-33.7000N	175653.7000N	122-32-15.1000W	441135.1000W	E	171	S	16E	2020	1030	SEATTLE	3	NW	2190	ZSE	ZCS	SEATTLE	ZVR	ZVR	VANCOUVER		SEA	SEATTLE		1-800-WX-BRIEF				BLI	Y	11/1/38	O	I B S 11/1974	NGPRY3	NOT ANALYZED	Y	Y	N	Y	F	F	2242021		100LLA	NONE	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.95	124.9	Y	CG	Y		141	5	4	9				6537		14764	18150	34099	851	12/31/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL"	Y-L	KBLI	N
26110.11*C	SEAPLANE BASE	'0W7	8/12/21	ANM	SEA	WA	WASHINGTON	WHATCOM	WA	BELLINGHAM	FLOATHAVEN	PR	PU	MELLEMARK INC.	14915 58TH LANE NE	"KENNMORE, WA 98028"	    206-909-7299	MARK SCHOENING	14915 58TH LANE NE	"KENNMORE, WA 98028"	    206-909-7299	48-44-08.2000N	175448.2000N	122-20-24.1000W	440424.1000W	E	307	E	21E	1985		SEATTLE	6	SE		ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	10/1/62	O			NOT ANALYZED	N	N	N	N	S	S	8062018			MAJOR	MAJOR	NONE	NONE			N		122.9	N		N		5	2									200	300		12/31/17	OWNER	00:00.0	OWNER	00:00.0		HGR				N
26120.*A	AIRPORT	'PWT	8/12/21	ANM	SEA	WA	WASHINGTON	KITSAP	WA	BREMERTON	BREMERTON NTL	PU	PU	PORT OF BREMERTON	8850 SW STATE HIGHWAY 3	"BREMERTON, WA 98312"	  (360) 674-2381	WARREN HENDRICKSON	8850 SW STATE HIGHWAY 3	"BREMERTON, WA 98312"	  (360) 813-0828	47-29-24.9000N	170964.9000N	122-45-53.3000W	441953.3000W	E	444	S	16E	2015		SEATTLE	7	SW	1729	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				PWT	Y	12/1/38	O		NGPY3	NOT ANALYZED	N	N	N	Y	F	S	6232020		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	123.05	123.05	Y	CG	N		105	6	3	3	1	0	0			100	39000	26000	900	12/31/19	NGS	00:00.0	NGS	00:00.0		TIE	"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL"	Y-L	KPWT	N
26123.1*A	AIRPORT	'S97	8/12/21	ANM	SEA	WA	WASHINGTON	OKANOGAN	WA	BREWSTER	ANDERSON FLD	PU	PU	CITY OF BREWSTER	BOX 340	"BREWSTER, WA 98812"	    509-689-3464	LEE WEBSTER	BOX 340	"BREWSTER, WA 98812"	  (509) 689-3464	48-06-17.0230N	173177.0230N	119-43-11.6960W	430991.6960W	E	919	S	20E	1985		SEATTLE	3	E	64	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	1/1/65	O		NGY	NO OBJECTION	N	N	N	Y	S	S	7172018			NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		5	2	0	19	0	0	0				5300	9300		12/31/17	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AGRI,CHTR,INSTR,RNTL"	Y-L		N
26125.1*A	AIRPORT	'BVS	8/12/21	ANM	SEA	WA	WASHINGTON	SKAGIT	WA	BURLINGTON/MOUNT VERNON	SKAGIT RGNL	PU	PU	PORT OF SKAGIT COUNTY	"15400 AIRPORT DR, PO BOX 348"	"BURLINGTON, WA 98233"	    360-757-0011	KEITH D. LOVE	"15400 AIRPORT DR, 15400 AIRPORT DR"	"BURLINGTON, WA 98233"	    360-757-0011	48-28-13.8940N	174493.8940N	122-25-18.0820W	440718.0820W	E	145	S	16E	2015	500	SEATTLE	3	W	1847	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				BVS	Y	12/1/37	O		NGPY	CONDITIONAL	N	N	N	Y	S	S	7142020		100LLA	MAJOR	MAJOR	HIGH/LOW	NONE	SEE RMK	SS-SR	N	123.075	123.075	Y	CG	N		113	8	3	7	0	0	1			2000	23970	35830	100	12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AFRT,AVNCS,CHTR,INSTR,RNTL,SALES"	Y-L	KBVS	N
26130.*A	AIRPORT	'1W1	8/12/21	ANM	SEA	WA	WASHINGTON	CLARK	WA	CAMAS	GROVE FLD	PU	PU	CAMAS-WASHOUGAL PORT COMM	24 SOUTH A STREET	"WASHOUGAL, WA 98671"	    360-835-2196	DAVID RIPP	24 SOUTH A STREET	"WASHOUGAL, WA 98671"	    360-835-2196	45-37-40.1860N	164260.1860N	122-24-15.5210W	440655.5210W	E	429	E	19E	1985	800	SEATTLE	3	N	23	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	5/1/46	O		N	NOT ANALYZED	N	N	N	N	S	S	8202020	8251981	100	NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	Y	CG	N		36	0	0	0	0	0	0				7500	2500		12/31/19	STATE	00:00.0	STATE	00:00.0		TIE	"INSTR,RNTL"	Y-L		N
26135.*A	AIRPORT	'8S2	8/12/21	ANM	SEA	WA	WASHINGTON	CHELAN	WA	CASHMERE	CASHMERE-DRYDEN	PU	PU	CHELAN COUNTY	COURT HOUSE	"WENATCHEE, WA 98801"	    509-665-6700	ADMINISTRATOR	5500 SULLIVAN ST	"CASHMERE, WA 98815"	  (509) 782-3321	47-30-53.1000N	171053.1000N	120-29-04.8000W	433744.8000W	E	857	S	20E	1985		SEATTLE	2	SW	24	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	7/1/50	O		N1	NOT ANALYZED	N	N	N	N	S	S	8202018	9161981		NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	N	CG	N		37	0	0	0	0	0	0			75	1750	1250		12/31/17	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE		Y-L		N
26144.*A	AIRPORT	'CLS	8/12/21	ANM	SEA	WA	WASHINGTON	LEWIS	WA	CHEHALIS	CHEHALIS-CENTRALIA	PU	PU	CITY OF CHEHALIS	P.O. BOX 1344	"CHEHALIS, WA 98532"	    360-748-1230	BRANDON RAKES	900 NW AIRPORT ROAD	"CHEHALIS, WA 98532"	    360-748-1230	46-40-37.3000N	168037.3000N	122-58-57.9000W	442737.9000W	E	177	E	16E	2015		SEATTLE	1	W	438	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	9/1/37	O		NGY3	NOT ANALYZED	N	N	N	Y	S	S	4262021		100LLA	MAJOR	MAJOR	LOW	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		49	3	4	0	0	0	0			4500	23000	20000	210	12/31/20	3RD PARTY SURVEY	00:00.0	STATE	00:00.0		TIE	"INSTR,RNTL"	Y-L	KCLS	N
26147.*A	AIRPORT	'S10	8/12/21	ANM	SEA	WA	WASHINGTON	CHELAN	WA	CHELAN	LAKE CHELAN	PU	PU	CITY OF CHELAN/PORT OF CHELAN	PO BOX 1669	"CHELAN, WA 98816"	    509-682-4037	JEFF SLATER	32 AIRPORT ROAD	"CHELAN, WA 98816"	    509-682-5976	47-51-57.6370N	172317.6370N	119-56-33.7260W	431793.7260W	E	1263	S	20E	1985		SEATTLE	3	NE	78	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	12/1/38	O		NGY	NOT ANALYZED	N	N	N	Y	S	S	6192019	8241981	100LLA	MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N	122.95	122.9	Y	CG	N		36	3	0	3	0	0	6				11500	4500		12/31/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"INSTR,RNTL"	Y-L		N
26150.*A	AIRPORT	'1S9	8/12/21	ANM	SEA	WA	WASHINGTON	STEVENS	WA	CHEWELAH	CHEWELAH MUNI	PU	PU	CITY OF CHEWELAH	PO BOX 258	"CHEWELAH, WA 99109"	    509-935-8311	TYRONE BRYANT	139 RICHMOND LANE	"CHEWELAH, WA 99109"	  (509) 936-0234	48-18-50.2495N	173930.2495N	117-44-36.3335W	423876.3335W	E	2084	E	20E	1985		SEATTLE		NW	84	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	1/1/79	O			CONDITIONAL					C	S	5212019	8251980		MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N		122.9	Y	CG	N		16	1									3000	2000		12/31/18	STATE	00:00.0	STATE	00:00.0		TIE		Y-L		N
26157.*A	AIRPORT	'C72	8/12/21	ANM	SEA	WA	WASHINGTON	SPOKANE	WA	CLAYTON	CROSS WINDS	PR	PU	LINDA C BROWN	512 OLD STATE ROAD	"ELK, WA 99009"	  (509) 671-3824	LINDA C BROWN	512 OLD STATE ROAD	"ELK, WA 99009"	  (509) 671-3824	47-58-51.5800N	172731.5800N	117-31-43.8700W	423103.8700W	E	2150	S	20E	1985	500	SEATTLE	2	SE	110	ZSE	ZCS	SEATTLE	ZSE	ZCS	SEATTLE	N	SEA	SEATTLE		1-800-WX-BRIEF				SEA	Y	3/1/82	O			NO OBJECTION					S	S	8142019	9261986								N		122.9	Y		N		0										0	0		12/31/18								Y		N
